 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    
   9.99999978E-03   0.00000000       0.00000000       0.00000000       0.00000000      -1.53886725E-03   0.00000000    
   1.99999996E-02   0.00000000       0.00000000       0.00000000       0.00000000      -4.75260522E-03  -8.44285205E-06
   2.99999993E-02   0.00000000       0.00000000       0.00000000       0.00000000      -7.95173645E-03  -4.13882335E-05
   3.99999991E-02   0.00000000       0.00000000       0.00000000       0.00000000      -1.00451019E-02  -1.03776285E-04
   4.99999970E-02   0.00000000       0.00000000       0.00000000       0.00000000      -1.04356073E-02  -1.93613610E-04
   5.99999987E-02   0.00000000       0.00000000       0.00000000       0.00000000      -8.83746147E-03  -3.05972149E-04
   7.00000003E-02   0.00000000       0.00000000       0.00000000       0.00000000      -5.14981337E-03  -4.35173453E-04
   7.99999982E-02   0.00000000       0.00000000       0.00000000       0.00000000       6.19016180E-04  -5.75764570E-04
   8.99999961E-02   0.00000000       0.00000000       0.00000000       0.00000000       8.39610957E-03  -7.22881348E-04
   9.99999940E-02   0.00000000       0.00000000       0.00000000       0.00000000       1.80706419E-02  -8.72336910E-04
  0.109999999       0.00000000       0.00000000       0.00000000       0.00000000       2.95102820E-02  -1.02059869E-03
  0.119999997       0.00000000       0.00000000       0.00000000       0.00000000       4.25717123E-02  -1.16472237E-03
  0.129999995       0.00000000       0.00000000       0.00000000       0.00000000       5.71075045E-02  -1.30227988E-03
  0.140000001       0.00000000       0.00000000       0.00000000       0.00000000       7.29704872E-02  -1.43128377E-03
  0.149999991       0.00000000       0.00000000       0.00000000       0.00000000       9.00166482E-02  -1.55012298E-03
  0.159999996       0.00000000       0.00000000       0.00000000       0.00000000      0.108107135      -1.65750261E-03
  0.170000002       0.00000000       0.00000000       0.00000000       0.00000000      0.127109155      -1.75239518E-03
  0.179999992       0.00000000       0.00000000       0.00000000       0.00000000      0.146896839      -1.83399266E-03
  0.189999998       0.00000000       0.00000000       0.00000000       0.00000000      0.167351216      -1.90166919E-03
  0.199999988       0.00000000       0.00000000       0.00000000       0.00000000      0.188360184      -1.95494969E-03
  0.209999993       0.00000000       0.00000000       0.00000000       0.00000000      0.209818244      -1.99348107E-03
  0.219999999       0.00000000       0.00000000       0.00000000       0.00000000      0.231626093      -2.01701093E-03
  0.229999989       0.00000000       0.00000000       0.00000000       0.00000000      0.253690124      -2.02536443E-03
  0.239999995       0.00000000       0.00000000       0.00000000       0.00000000      0.275921762      -2.01842352E-03
  0.250000000       0.00000000       0.00000000       0.00000000       0.00000000      0.298236609      -1.99612346E-03
  0.259999990       0.00000000       0.00000000       0.00000000       0.00000000      0.320554465      -1.95844192E-03
  0.269999981       0.00000000       0.00000000       0.00000000       0.00000000      0.342798054      -1.90538005E-03
  0.280000001       0.00000000       0.00000000       0.00000000       0.00000000      0.364892602      -1.83696928E-03
  0.289999992       0.00000000       0.00000000       0.00000000       0.00000000      0.386765152      -1.75325689E-03
  0.299999982       0.00000000       0.00000000       0.00000000       0.00000000      0.408344537      -1.65432249E-03
  0.310000002       0.00000000       0.00000000       0.00000000       0.00000000      0.429560572      -1.54025364E-03
  0.319999993       0.00000000       0.00000000       0.00000000       0.00000000      0.450343221      -1.41116348E-03
  0.329999983       0.00000000       0.00000000       0.00000000       0.00000000      0.470623106      -1.26719219E-03
  0.340000004       0.00000000       0.00000000       0.00000000       0.00000000      0.490330875      -1.10849668E-03
  0.349999994       0.00000000       0.00000000       0.00000000       0.00000000      0.509396732      -9.35273478E-04
  0.359999985       0.00000000       0.00000000       0.00000000       0.00000000      0.527750611      -7.47750746E-04
  0.370000005       0.00000000       0.00000000       0.00000000       0.00000000      0.545322418      -5.46199968E-04
  0.379999995       0.00000000       0.00000000       0.00000000       0.00000000      0.562041759      -3.30930343E-04
  0.389999986       0.00000000       0.00000000       0.00000000       0.00000000      0.577838063      -1.02307422E-04
  0.399999976       0.00000000       0.00000000       0.00000000       0.00000000      0.592640936       1.39244585E-04
  0.409999996       0.00000000       0.00000000       0.00000000       0.00000000      0.606380045       3.93241382E-04
  0.419999987       0.00000000       0.00000000       0.00000000       0.00000000      0.618986666       6.59123703E-04
  0.429999977       0.00000000       0.00000000       0.00000000       0.00000000      0.630392551       9.36262484E-04
  0.439999998       0.00000000       0.00000000       0.00000000       0.00000000      0.640531421       1.22396892E-03
  0.449999988       0.00000000       0.00000000       0.00000000       0.00000000      0.649339378       1.52145384E-03
  0.459999979       0.00000000       0.00000000       0.00000000       0.00000000      0.656754792       1.82785385E-03
  0.469999999       0.00000000       0.00000000       0.00000000       0.00000000      0.662719965       2.14223471E-03
  0.479999989       0.00000000       0.00000000       0.00000000       0.00000000      0.667181075       2.46356614E-03
  0.489999980       0.00000000       0.00000000       0.00000000       0.00000000      0.670089424       2.79071834E-03
  0.500000000       0.00000000       0.00000000       0.00000000       0.00000000      0.671401739       3.12249456E-03
  0.509999990       0.00000000       0.00000000       0.00000000       0.00000000      0.671080530       3.45762586E-03
  0.519999981       0.00000000       0.00000000       0.00000000       0.00000000      0.669096053       3.79475346E-03
  0.529999971       0.00000000       0.00000000       0.00000000       0.00000000      0.665425837       4.13245801E-03
  0.539999962       0.00000000       0.00000000       0.00000000       0.00000000      0.660055161       4.46925312E-03
  0.550000012       0.00000000       0.00000000       0.00000000       0.00000000      0.652978897       4.80359839E-03
  0.560000002       0.00000000       0.00000000       0.00000000       0.00000000      0.644201398       5.13391104E-03
  0.569999993       0.00000000       0.00000000       0.00000000       0.00000000      0.633737087       5.45856589E-03
  0.579999983       0.00000000       0.00000000       0.00000000       0.00000000      0.621610463       5.77592291E-03
  0.589999974       0.00000000       0.00000000       0.00000000       0.00000000      0.607857406       6.08432898E-03
  0.599999964       0.00000000       0.00000000       0.00000000       0.00000000      0.592524409       6.38213847E-03
  0.610000014       0.00000000       0.00000000       0.00000000       0.00000000      0.575669646       6.66772574E-03
  0.620000005       0.00000000       0.00000000       0.00000000       0.00000000      0.557362795       6.93948334E-03
  0.629999995       0.00000000       0.00000000       0.00000000       0.00000000      0.537684500       7.19588436E-03
  0.639999986       0.00000000       0.00000000       0.00000000       0.00000000      0.516726792       7.43545825E-03
  0.649999976       0.00000000       0.00000000       0.00000000       0.00000000      0.494592607       7.65682152E-03
  0.659999967       0.00000000       0.00000000       0.00000000       0.00000000      0.471395165       7.85869081E-03
  0.669999957       0.00000000       0.00000000       0.00000000       0.00000000      0.447257608       8.03990290E-03
  0.680000007       0.00000000       0.00000000       0.00000000       0.00000000      0.422312379       8.19942541E-03
  0.689999998       0.00000000       0.00000000       0.00000000       0.00000000      0.396700293       8.33639130E-03
  0.699999988       0.00000000       0.00000000       0.00000000       0.00000000      0.370569587       8.45007040E-03
  0.709999979       0.00000000       0.00000000       0.00000000       0.00000000      0.344075054       8.53992626E-03
  0.719999969       0.00000000       0.00000000       0.00000000       0.00000000      0.317376792       8.60561337E-03
  0.729999959       0.00000000       0.00000000       0.00000000       0.00000000      0.290639013       8.64697155E-03
  0.740000010       0.00000000       0.00000000       0.00000000       0.00000000      0.264028639       8.66405852E-03
  0.750000000       0.00000000       0.00000000       0.00000000       0.00000000      0.237714142       8.65714159E-03
  0.759999990       0.00000000       0.00000000       0.00000000       0.00000000      0.211864054       8.62670131E-03
  0.769999981       0.00000000       0.00000000       0.00000000       0.00000000      0.186645448       8.57343990E-03
  0.779999971       0.00000000       0.00000000       0.00000000       0.00000000      0.162222609       8.49827938E-03
  0.789999962       0.00000000       0.00000000       0.00000000       0.00000000      0.138755471       8.40235874E-03
  0.799999952       0.00000000       0.00000000       0.00000000       0.00000000      0.116398171       8.28703586E-03
  0.810000002       0.00000000       0.00000000       0.00000000       0.00000000       9.52974781E-02   8.15388188E-03
  0.819999993       0.00000000       0.00000000       0.00000000       0.00000000       7.55914599E-02   8.00468028E-03
  0.829999983       0.00000000       0.00000000       0.00000000       0.00000000       5.74079193E-02   7.84141477E-03
  0.839999974       0.00000000       0.00000000       0.00000000       0.00000000       4.08628695E-02   7.66626559E-03
  0.849999964       0.00000000       0.00000000       0.00000000       0.00000000       2.60589775E-02   7.48160342E-03
  0.859999955       0.00000000       0.00000000       0.00000000       0.00000000       1.30838919E-02   7.28998287E-03
  0.870000005       0.00000000       0.00000000       0.00000000       0.00000000       2.00830610E-03   7.09413923E-03
  0.879999995       0.00000000       0.00000000       0.00000000       0.00000000      -7.11624837E-03   6.89698057E-03
  0.889999986       0.00000000       0.00000000       0.00000000       0.00000000      -1.42601440E-02   6.70158397E-03
  0.899999976       0.00000000       0.00000000       0.00000000       0.00000000      -1.94192268E-02   6.51118951E-03
  0.909999967       0.00000000       0.00000000       0.00000000       0.00000000      -2.26196051E-02   6.32919138E-03
  0.919999957       0.00000000       0.00000000       0.00000000       0.00000000      -2.39244271E-02   6.15911977E-03
  0.930000007       0.00000000       0.00000000       0.00000000       0.00000000      -2.34436654E-02   6.00460637E-03
  0.939999998       0.00000000       0.00000000       0.00000000       0.00000000      -2.13487670E-02   5.86930756E-03
  0.949999988       0.00000000       0.00000000       0.00000000       0.00000000      -1.78949237E-02   5.75674837E-03
  0.959999979       0.00000000       0.00000000       0.00000000       0.00000000      -1.34552708E-02   5.67000220E-03
  0.969999969       0.00000000       0.00000000       0.00000000       0.00000000      -8.57137982E-03   5.61106019E-03
  0.979999959       0.00000000       0.00000000       0.00000000       0.00000000      -4.01674071E-03   5.57964528E-03
  0.989999950       0.00000000       0.00000000       0.00000000       0.00000000      -8.22419359E-04   5.57123823E-03
   1.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       5.57481218E-03
   0.00000000       9.99999978E-03   0.00000000       0.00000000       0.00000000      -1.53886725E-03   0.00000000    
   9.99999978E-03   9.99999978E-03   1.19012966E-05  -1.18815124E-05   7.69433584E-08  -1.67892349E-03   0.00000000    
   1.99999996E-02   9.99999978E-03   3.28911628E-05  -1.60321742E-05   2.37630246E-07  -1.81845448E-03   1.41095018E-06
   2.99999993E-02   9.99999978E-03   5.14621279E-05  -1.32312425E-05   3.97586831E-07  -1.78801070E-03  -2.70683577E-05
   3.99999991E-02   9.99999978E-03   5.98880033E-05  -6.20967603E-06   5.02255091E-07  -1.08136504E-03  -8.53077727E-05
   4.99999970E-02   9.99999978E-03   5.34889950E-05   3.01910040E-06   5.21780350E-07   7.31762731E-04  -1.69392064E-04
   5.99999987E-02   9.99999978E-03   2.97318402E-05   1.32144851E-05   4.41873084E-07   3.93543113E-03  -2.74090708E-04
   7.00000003E-02   9.99999978E-03  -1.24827111E-05   2.36411943E-05   2.57490655E-07   8.68655276E-03  -3.94061353E-04
   7.99999982E-02   9.99999978E-03  -7.33165944E-05   3.38648060E-05  -3.09508081E-08   1.50480969E-02  -5.24357310E-04
   8.99999961E-02   9.99999978E-03  -1.52326218E-04   4.36290647E-05  -4.19805474E-07   2.30175965E-02  -6.60602527E-04
   9.99999940E-02   9.99999978E-03  -2.48682394E-04   5.27854318E-05  -9.03532055E-07   3.25483344E-02  -7.99019530E-04
  0.109999999       9.99999978E-03  -3.61317798E-04   6.12526710E-05  -1.47551407E-06   4.35643643E-02  -9.36397468E-04
  0.119999997       9.99999978E-03  -4.89026017E-04   6.89930603E-05  -2.12858549E-06   5.59711270E-02  -1.07003551E-03
  0.129999995       9.99999978E-03  -6.30529888E-04   7.59969480E-05  -2.85537521E-06   6.96628541E-02  -1.19768386E-03
  0.140000001       9.99999978E-03  -7.84527627E-04   8.22728616E-05  -3.64852440E-06   8.45278278E-02  -1.31748233E-03
  0.149999991       9.99999978E-03  -9.49724577E-04   8.78416176E-05  -4.50083235E-06  0.100452021      -1.42790680E-03
  0.159999996       9.99999978E-03  -1.12485478E-03   9.27312649E-05  -5.40535666E-06  0.117321715      -1.52771990E-03
  0.170000002       9.99999978E-03  -1.30869483E-03   9.69742614E-05  -6.35545757E-06  0.135025188      -1.61592709E-03
  0.179999992       9.99999978E-03  -1.50007184E-03   1.00605146E-04  -7.34484183E-06  0.153453946      -1.69173721E-03
  0.189999998       9.99999978E-03  -1.69786764E-03   1.03658342E-04  -8.36756044E-06  0.172503307      -1.75452931E-03
